text_clean,label
em được làm fan cứng luôn rồi nè reaction quá quá cute coi mấy giờ này quá hợp_lí,0
đúng là bọn mắt híp lò_xo thụt bên việt_nam toi cái này cách đây 10 năm roi và bọn toi gọi_là cái lon,2
đậu văn_cường giờ giống thằng sida hơn,0
côn_đồ cục súc vô_nhân_tính đề_nghi vn nhà_nước vn ban thưởng,2
từ lý_thuyết đến thực_hành là cả câu_chuyện dài,0
coronavirus is manmade,0
đố chúng may nhận,0
lúp lúp như chó,1
thế mà mình nói mấy thằng bắc kì_bọn đó lại bâu vô nói mình phân_biệt,2
được anh ưi lâu rồi không nghe phúc_du_rap,0
cắt trẻ trâu bớt thui mà,0
nghe rất vô_lí nhưng cực_kì thuyết_phục,0
chán ghê_khong có pé mới máu được hâhha,0
toi gửi bây,0
thế đấy làm bọn nó bọn nó có quyền nên làm chả được,0
loại này dựa cột thôi chứ độ thế_nào,2
thuong wa,0
dạy bơi cá_bơi thì đương_nhiên nó bơi được vì nó là cá làm_sao nó sống được mới là điều người_dân đang quan_tâm,1
ủa chứ bữa xin_lỗi khóc tế_om xòm mà giờ chửi nữa rồi bó_tay này hỗn quá,2
bamtp chạy ngay ddi,0
cứ đăng cái ảnh bố_con là y_như_rằng bị đổi,0
dàn táo năm làm chương_trình táo_quân vi_hành nhé moi phát_sóng tối 23 tết trên vtv3,0
thật chán với chế_độ quản_lý dân_sinh,2
đời vô_thường lắm sống phải tu_tâm_tích đức cô oi_khẩu_nghiệp quá cô ơi,0
có biết làm cách nào để tìm lại được đồng_đội đồng_chí bạn_hữu cùng đơn_vị của người bức ảnh không,0
sống chậm lại các mày,0
chương_trình quảng_cáo xin bắt_đầu,0
nguyễn_hữu_nhân đớp cả của cháu thứ mắc dạy,2
nhậu cái đm chúng_mày lũ chó_hại dân_hại nước,2
thế vinh_yasbaga tối_cao,0
mài có óc để suy_nghĩ khong add cái đồng băng đó mài tính đào hồ bnhiu đủ hả thằng ngu,2
chuẩn,0
chỉ vàng ngọc như heo nọc nhà,2
phải thầy khong ta,0
cảnh_sát chính_tả comingg nè,0
xuân đương_tới nghĩa_là xuân đương_qua,0
nhìn chúng_nó cmt mà đắng bạn,0
ý_thức còn ít hơn cả số tiền túi toi,1
em yêu anh từ thuở tóc dài,0
chân mấy anh hàn_quốc rồi,0
lương tháng củ thui ak trai nhưng bố vẫn ăn tạm cua_hoàng_đế để sống wa ngày thôi trai ak,0
mệt quá thầy,0
gia_lộc tran_quang còn vui hơn cà_khịa,0
chị hôm_nay đẹp quá,0
xem roi nè,0
việt tiến nghèo là rõ,0
video,1
thầy đéo xóa kênh kêu_gọi học_trò report bay kênh thiệt luôn,2
anh ba láo_nháo là tú_xiên giờ,2
người ta bị lường gạt tỷ mấy còn êm_ru mà đằng này hơn trăm triệu thôi mà la_um xùm_hà,0
tú thích hoa_hồng và mùa đông được quang đâm phía sau mông,0
mẹ bộ khong mở cửa_hàng kinh_doanh bán bình luôn dân khong lại phạt vì mua phải bình_đểu,2
cuối_cùng anh đã trở_lại em tưởng anh biến mất luôn em mừng_thiệt là tình nội_dung mang tính giải_trí khong có ý_anti ghét,0
chi cai_gi cung_co cai_lờ_la chi hét kiếp cung_khong bao_gio,2
vừa tăng lương phát biết ngay,0
là cảm_tình diên like,0
xin tộc trưởng hãy hiếu lợn_thần trận đảm_bảo sẽ có chiến_thắng,0
đấu khẩu chim lợn,1
cai_miệng nói không sợ bị hậu_quả,1
năm rồi,0
đầu thứ tóc rồi mà_còn bị trẻ trâu levi lừa,0
mien trung_nhu chi ngoi xem bac chui nhau,0
khắc thành nguyễn_phục cái máu lồn,2
quan va_dan nhau phai_ton phap luat khong thuen vi_mot,0
chúc abe 20 10 vui_vẻ,0
khong vào thì lấy đâu vốn fdi các anh đút túi,0
việc nhẹ lương cao mình xin nhường những người thất_nghiệp,0
b52 if j97,0
chào người anh_em,0
diệp gia_nghi_nghiệp nó quật may chết bh,0
duy_khương bên nó bị hoặc nghi bị thì tự cách_ly tự điểu_trị nhé nó còn không xét_nghiệm cơ_chỉ nào bạn chết thì nó mới khám_nghiệm để kết_luận có virus không ngoài đường mà đeo khẩu_trang bọn anh nó còn đấm vào mặt chứ đó mà điều_trị,0
9x5 55 chứ ôg già,0
trương duy_khong mvp đội mình thì là mvp của đội bạn,0
xin video với bro,0
bị gì bị lắm thế,0
du_học_sinh úc_cơ ấy,0
ôi vãi a_quang,0
chờ_đợi 17 nồi bánh_chưng mới fan cứng nên cmt khong mất chứ khong biết chơi ga,0
khá khó,0
giúp làm_đẹp với e_khong có điều_kiện khong có khả_năg nhưg thấy có người đẹp rất thích,0
thu boo xuất_sắc nhưng em lại làm mấy bạn buồn thêm,0
hoan_nghênh ông trần dần có tư_tưởng tiến_bộ không chống_cộng_sản_việt_nam nữa chỉ có quên đi quá_khứ để yêu_thương về già lo tu_thân sám_hối là điều lựa_chọn tốt nhất chúc ông trần dần sống lâu 130 tuổi và luôn khỏe mạnh đẹp lão,0
mấy thằng già làm bộ_trưởng này nọ mà đầu_óc thua cả bác nông_dân,2
võ thành_nhân huyền_thoại,0
sương_mù là tại thiên_tai,0
mình không quan_tâm cô_đơn lắm,0
thế e_thích làm phù_thủy roi bạn nam phải làm đây a_nhỉ,0
uầy tôi là cưng_phán các ông được vai lon ưi,0
maruko linh,0
ảnh này video superheroo nghe buồn não_ruột __,0
anh tik nói quá đúng luôn,0
bavi,0
đây là chủ,0
minh_mẫn vai ca lon,1
chú bòn em chặt chứ khong ăn_nha,0
cực_kì thuyế hác xì_á chết mẹ,0
lee_quang tôi toàn nghe nhạc của bùi_anh tuấn_hà anh tuấn nghe mấy bài này khong thấm nổi,0
nguyễn_trọng_thái người ta nói bạn đợi nhưng bạn có biết bạn đang đợi cái lone gì không hay_là đợi thiệp hồng,0
có anh độ tết lúc_nào chả vui,0
nghe nói trước_đây số thành_phần người hà_nội_kì thị_dân vĩnh_phúc đúng không nhỉ bh thì mấy ngừoi đó bị lây hết chưa ấy nhể,0
huy_hoàng,0
thảo ng_thua tại dốt av qa,0
dần_dần thấy jack mất,0
dì ê_dì là trai gái,0
vợ cuốc_sư là bùi_kim thành còn vợ nhỏ là lisa_phạm,0
trước cắm lên đầu em cái sừng nó bảo_y như_thế,0
éo nha liu liu,1
cận thận nhà anh_em,0
idol,0
duyên_phạm ghê_tr văn_chương dữ hén,0
xin,0
hoàng_minh,0
anh trung_magic,0
có một sự tồn_tại của đàn bò mang tên cực_kỳ thuyết_phục có sở_thích là nhai đi nhai lại mục_đích của chúng trên hành_tinh này vẫn chưa có lời giải_đáp như các nhà_động_vật_học biết loài bò này có lối sống hoang_dâm trụy_lạc có_thể động_dục bất_cứ lúc_nào con_số của loài này đang được gia_tăng đáng_kể,2
ck4mk4m là gì á_moi,0
toyy xin in4 fb hoặc sđt zalo ig được khong 33,0
chị chữi là chị cứu nhân_độ thế,0
nghi_vấn thầy chà_trộn ttbl,0
lại hợp_sâm cai_lon me đến thì ff,1
dao chặt không đứt khong,0
hồng thy cái giọng điệu nói cảm_thấy hao_hao giống,0
nhanh thực_sự,0
đồng máy_bay phalcon 10 tỷ belike,0
so pre tài_trợ_độ tây ngày hôm ngày,0
nghe kể chuyện tí rồi làm tiếp_a thanh_le,0
hoàng anh từ tư,0
dep trai moi co_nhieu dua yeu,0
binh_thuong các bạn phan_cuồng_chửi vậy_minh đã khong nêu ý_kiến cá_nhân,0
thêm một người bị cộng_sản nhồi sọ không biết có_thể nạo_ra được hết chất_bã đầu,2
nghe giọng nứkg quá abe,1
ông làm bố tôi hơi lâu rồi đấy tùng sói said,0
vì refund top nên tối mình xin phép ea blabla,0
anh trung_giả kim,0
có khả_năng tối anh bị ngủ ngoài đường tu_bi tờ niu,0
bùn_nhở,0
pháo thủ_toang cmnl,0
bóng khùng bóng điên,1
làm thêm chục củ mở hòm csgo anh êi,0
lê huyền người sinh_vật hạ_đẳng chứ_ngươi lam_thế,2
cao_lãnh với chúng_tôi làyy,0
làm nhẹ nó tot,0
ặc,0
xin inb tôi đi,0
goodnow tran lo nhà đi ngoài tiết diên_mày bị mắc bệnh giờ tui cam_đoan là như dị,0
nhìn chị minh_hiếu có duyên hết_sức nói_chuyện rất chân_thật mặc_dù mỗi lần live_chửi rất táo_tợn nhưng nghe và nhìn chị ấy rất thánh_thiện và chất_chúc chị luôn vui_khỏe và hp_mong có dịp sẽ được gặp chị,0
dễ_thương và duyên quá cô ơi love cô,0
lê_thị bích_hồng tk trẩu,2
nhớ nuôi kiểu tóc này mới đủ combo nhé anh_em,0
chang chang,0
nguyễn_trang nói thật mị,0
ng thì giết mạng ng thì feed tụt lon,0
có pải nổ_lực là có được đâu pải có chút gọi_là may_mắn nữa,0
panda_thái đã xem,0
luôn ủng_hộ khong atm,0
