input_text,target_reason
hate-speech-qa: Ngữ cảnh: 'Trang Trần dm cm với t' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ 'dm cm' là viết tắt của lời chửi thề tục tĩu, xúc phạm nghiêm trọng đến danh dự và nhân phẩm người khác."
hate-speech-qa: Ngữ cảnh: 'con mẹ mày giàu con mẹ mày... khinh thường ng ta' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ ngữ tục tĩu 'con mẹ mày' để lăng mạ, hạ thấp người khác, thể hiện sự khinh thường."
hate-speech-qa: Ngữ cảnh: 'Bố con điên' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ 'điên' để miệt thị, xúc phạm người khác, đồng thời kỳ thị người có vấn đề sức khỏe tâm thần."
hate-speech-qa: Ngữ cảnh: 'Thay ngáo đá' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ 'ngáo đá' gán nhãn tiêu cực, miệt thị người có vấn đề tâm lý hoặc nghiện ma túy, mang tính xúc phạm và kỳ thị."
hate-speech-qa: Ngữ cảnh: 'Thầy ngu như chó 🤥' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ xúc phạm 'ngu như chó' hạ thấp nhân phẩm, xúc phạm trí tuệ người thầy bằng cách so sánh với động vật."
"hate-speech-qa: Ngữ cảnh: 'quan cs ở xứ thiên đường thuộc bài kinh luôn ,mở mồm là "" ơn đảng ,ơn chính phủ..."" còn thằng quan tư bổn giãy hoài ko chết cũng thuộc bài luôn nhưng bài của nó là "" tôi xin chịu trách nhiệm ,tôi xin từ chức... ""' Câu hỏi: Tại sao câu này độc hại?","Sử dụng từ miệt thị “‘xứ thiên đường’”, “‘tư bổn giãy hoài ko chết’” nhằm công kích và chế giễu các nhóm chính trị."
"hate-speech-qa: Ngữ cảnh: 'Đu me mây cho vay tiên gop ma noi lam tư thiên, bơt sao lôn đi minh hiêu tui mây ăn chăn tiên tư thiên thi đung hơn' Câu hỏi: Tại sao câu này độc hại?","Sử dụng từ ngữ thô tục, xúc phạm như 'Đu me' và 'sao lôn' để lăng mạ và cáo buộc lừa đảo, hạ thấp nhân phẩm người khác."
hate-speech-qa: Ngữ cảnh: 'Tụi t đéo nịnh tụi t thương cô vì tánh cô chân thật. M biết cái cc gì m nói' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ ngữ thô tục, xúc phạm như 'đéo' và 'cc' nhằm hạ thấp, miệt thị người đối thoại, thể hiện sự thiếu tôn trọng."
hate-speech-qa: Ngữ cảnh: 'Hỏi b ý xem có đi tiếp xúc với chị nhung gì k đó k mà thấy bị lây óc tó thể hiện qua lời phát biểu như v' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng cụm từ 'lây óc tó' xúc phạm trí tuệ, hạ thấp người khác bằng cách ví von sự ngu dốt như bệnh dịch, mang tính miệt thị."
hate-speech-qa: Ngữ cảnh: '@Anh Japan Ủa cái quần thể gì dậy? Mới chửi người ta rồi quay lại khen :)? Ủa nulo hả? Cd :) ? Nói chuyện như cái lông loz dậy đó :)' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ ngữ tục tĩu, xúc phạm như 'nulo' và 'lông loz' nhằm hạ thấp, miệt thị và công kích cá nhân."
