input_text,target_reason
hate-speech-qa: Ngữ cảnh: 'Chửi cũng nể nang chứ. Đkm tao báo công an bắt chết cụ mày. Phạt mày 5 tr bây giờ. 😂😂😂😂😂😂' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng từ ngữ tục tĩu ('Đkm') và đe dọa bạo lực nghiêm trọng ('bắt chết cụ mày'), gây xúc phạm và sợ hãi."
hate-speech-qa: Ngữ cảnh: 'Con ho ly tinh nay o tha thu duoc' Câu hỏi: Tại sao câu này độc hại?,"ho ly tinh' (hồ ly tinh) dùng để ám chỉ một hình ảnh xấu xa, mỉa mai một cá nhân"
"hate-speech-qa: Ngữ cảnh: 'Lão già này đã mở được mắt rôi à, năm 2022 quoay đầu về bờ , đúng là đồ dở hết đường đi. Võ ông đánh gà ko tụt lông.' Câu hỏi: Tại sao câu này độc hại?","Sử dụng các từ 'Lão già', 'đồ dở', 'đánh gà ko tụt lông' là miệt thị, xúc phạm cá nhân, hạ thấp tuổi tác, trí tuệ và năng lực của người khác."
hate-speech-qa: Ngữ cảnh: 'Chac chan  Coronaviruswuhan qua di thi The Gioi se khong de yen  Trung Cong .' Câu hỏi: Tại sao câu này độc hại?,"Từ 'Trung Cong' là thuật ngữ miệt thị, mang ý nghĩa thù địch, nhắm vào chính phủ và người dân Trung Quốc, kích động sự căm ghét."
hate-speech-qa: Ngữ cảnh: 'Lại gặp danh hài Trần Dần nua 🤪' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
hate-speech-qa: Ngữ cảnh: 'Tu Kim Khoa im cmm đi🤫🤫' Câu hỏi: Tại sao câu này độc hại?,"Từ 'cmm' là viết tắt tục tĩu của ""câm mẹ mày mồm"", mang tính xúc phạm, thô tục và ra lệnh một cách hung hăng."
hate-speech-qa: Ngữ cảnh: 'Phương Thảo nom có như thằng trẻ trâu ở quê không' Câu hỏi: Tại sao câu này độc hại?,"Sử dụng ""'thằng'"" để hạ thấp phụ nữ, và ""'trẻ trâu', 'ở quê'"" để miệt thị, xúc phạm ngoại hình và nguồn gốc."
"hate-speech-qa: Ngữ cảnh: 'Lâm Quốc Huy đại học là oke ông , còn cấp 3 thì coi chừng thầy cô nứng :))' Câu hỏi: Tại sao câu này độc hại?","Sử dụng từ 'nứng' là tục tĩu, ám chỉ ham muốn tình dục không phù hợp của giáo viên, xúc phạm và thiếu tôn trọng."
hate-speech-qa: Ngữ cảnh: 'bựa :D tinh túy của trọng lú :D đất nước ta ngày càng phát triển thua lào vào campuchia ơn đảng nhỜ sự lãnh đạo tài tình của lão già biến thái này.cON CHÁU ÔNG CHẮC HÃNH DIỄN LẮM NGÀN NĂM TIẾNG THƠM LƯU CMN DANH' Câu hỏi: Tại sao câu này độc hại?,"Xúc phạm bằng cụm từ ('trọng lú', 'lão già biến thái'), bôi nhọ nghiêm trọng lãnh đạo cấp cao, đồng thời mỉa mai thể chế và phủ nhận thành tựu nhằm phá hoại tự tôn dân tộc."
hate-speech-qa: Ngữ cảnh: 'Anh tôi anh tôi' Câu hỏi: Tại sao câu này độc hại?,"Câu bình luận này là bình thường, không chứa ngôn từ thù địch hay xúc phạm."
